アプリ名,提供元,ジャンル,評価,評価数,価格,公開日,最終更新,検索語,復習,苦手抽出,解説,スキマ時間,出題条件選択,習熟度可視化,学習記録,ゲーム性,連続日数,模試,ランキング,通知,付箋,オフライン,解答時間,目標設定,キャラクター,用語集
Nuten : 数学と科学のためのキーボード,Allen Katouli,Education,3.67442,43,0.0,2015-09-21,2019-11-21,数検,,,,,,,,,,,,,○,,,,,
消防設備士1類　試験対策,RUMAHSAKU CORP.,Education,3.92857,42,800.0,2025-09-10,2026-06-16,消防設備士/試験対策,○,○,,○,○,○,,,○,○,,,,,,,,
合格革命行政書士肢別過去問集,GUENOCROSS INC.,Education,3.02381,42,0.0,2026-01-27,2026-04-30,司法書士/行政書士,,,○,,○,,,,,,,,,,,,,
HOJOJO（ホジョジョ）,HOJOJO Inc,Productivity,1.90476,42,0.0,2025-01-30,2026-06-25,中小企業診断士/社労士,,,,,,,,,,,,,,,,,,
2026年版 ITパスポート問題集(全問解説付),Yasuo Nishimura,Education,4.7381,42,0.0,2017-02-27,2026-06-14,ITパスポート,,,○,○,,○,,,,,,,,,,,,
高校英語学習アプリ - 高校英文法と中学英語、英単語も学べる,StudyPeaks,Education,3.78571,42,0.0,2018-10-10,2026-04-11,英単語,○,,○,,,,,,,,,,,,,,,
"宿題スキャナー:数学手書き,問題集管理筆跡が消える,文字消去",Waga LLC,Education,3.40476,42,0.0,2024-09-10,2025-02-20,数検,○,,○,,,,,,,,,,,,,,,
国試〜ぷ｜看護師・助産師・保健師国家試験過去問対策学習アプリ,Trivial Ventures,Education,4.63415,41,0.0,2025-10-14,2026-07-29,看護師 国家試験/過去問,○,,○,,○,○,,,,○,○,,,,,,,
SCOA　試験対策,RUMAHSAKU CORP.,Education,4.56098,41,800.0,2025-12-22,2026-07-17,試験対策,○,○,,○,,○,,,○,○,,,○,,,,,
小学生の英検® 英単語＆問題集,"StudySwitch, Inc.",Education,4.58537,41,0.0,2026-04-27,2026-06-10,英単語/英検,,,,,,,,,,,,,,,,,,
ログカレンダ - カレンダーに行動を記録するタイムトラッカー,Atsushi Hirasugi,Productivity,4.07317,41,150.0,2015-07-17,2021-02-23,学習記録,,,,,,○,○,,,,,,,,,,,
情報処理安全確保支援士｜スキマ時間で効率学習,Eriya Okuno,Education,3.26829,41,0.0,2020-11-02,2021-07-13,スキマ時間 学習,○,○,○,○,○,,,,,○,,,○,,,,,
証券外務員二種 講義動画 問題演習,"ONLINE SCHOOL Co.,Ltd",Education,4.4,40,0.0,2018-10-03,2026-05-19,証券外務員,○,○,○,○,○,,○,○,,,,,○,,,,,
SmartCards+ 単語帳: 暗記カード,Dynamic App Design LLC,Education,4.175,40,0.0,2017-11-11,2026-03-09,公務員試験/単語帳/英検,○,,,,,○,,,,,,,,,,,,
モンスター数学 - 子供のための数学,Makkajai Edu Tech Private Limited,Education,4.75,40,0.0,2014-11-21,2026-07-29,数検,,,,,,,,,,,,,,,,,,
JLPT対策アプリ ミャンマー人向け,TEPPEI KIKUCHI,Education,4.625,40,0.0,2022-12-07,2022-12-07,日本語能力試験,,,,,,,,,,,,,,,,,,
理科単語ウルフ,Nagao Hidetake,Education,4.55,40,0.0,2023-04-12,2023-05-04,暗記,,,○,,○,,,,,,,,,,,,,
書いて聴いてタイプして暗記する単語帳-モバ単2,俊之 酒井,Education,4.175,40,0.0,2011-08-21,2026-06-19,フラッシュカード/単語帳,○,,,○,○,○,,,,,,,,,,,,○
オンスク.JP 講座受け放題の資格勉強アプリ,"ONLINE SCHOOL Co.,Ltd",Education,4.53846,39,0.0,2024-11-04,2026-07-20,ビジネス実務法務/旅行業務取扱管理者/気象予報士/登録販売者,,,○,,,○,,,,,,,,,,,,
世界遺産検定4級：一問一答,"IROTE, KK",Education,4.12821,39,0.0,2025-11-12,2026-06-23,検定,○,○,,○,○,○,,○,,,,○,,,○,,,
漢字検定準１級 「30日合格プログラム」 漢検準１級,ReCorrect Inc.,Education,4.02564,39,1200.0,2017-01-17,2025-09-09,QC検定/検定/漢字検定/漢検,,○,○,,○,,○,,,○,,,,,,,,○
第二種電気工事士試験の暗記,Tomohisa Nakajima,Education,4.15385,39,0.0,2015-05-10,2015-05-10,電気工事士/電験三種,,,,,,,,,,,,,,,,,,
消防設備士乙6類2023年試験対策アプリ,YUZUKI SUDA,Education,2.92308,39,0.0,2021-02-17,2023-06-06,消防設備士,,○,,○,○,,,,,,,,,,,,,
英検®2級予想問題ドリル,"StudySwitch, Inc.",Education,4.53846,39,800.0,2018-05-09,2020-01-16,英検,,,,○,,,,,,,,,,,,,,
UWorld Medical Exam Prep,UWorld LLC,Education,4.76923,39,0.0,2015-05-20,2026-05-29,フラッシュカード,,,,,,,,,,,,,,,,,,
Bitsboard Flashcards PRO,Happy Moose Apps Inc.,Education,4.4359,39,7000.0,2013-05-15,2026-06-01,フラッシュカード,,,,,,,,,,,,,,,,,,
介護福祉士 過去問/動画授業で合格！｜ウェルミ―ジョブ,"SMS CO.,LTD.",Education,4.78946,38,0.0,2024-10-20,2025-11-01,介護福祉士/看護師 国家試験/資格 過去問/過去問,○,○,,,,○,,,,,,,,,,,,
作業療法士のたまご(過去問),ryosukE soejimA,Education,4.65789,38,0.0,2022-02-06,2022-02-06,過去問,○,○,,,,,,,,,,,,,,,,
宅建 一問一答（解説つき）,"SOCIAL NOTE CO., LTD.",Education,4.36842,38,0.0,2025-05-20,2026-05-06,宅建/宅建士,,,○,,,,,,,,,,,,,,,
みんなの法令,Dai-ichi Hoki Co. Ltd,Reference,3.71053,38,0.0,2019-05-08,2019-10-19,司法書士/行政書士,,,,,,,,,,,,,○,,,,,
G検定対策アプリ,"SKILLUP NeXt, Ltd.",Education,3.21053,38,1200.0,2021-07-06,2024-12-23,QC検定,○,○,,○,○,○,,,,,,,,,,,,
MAL mobi,MITSUBISHI AUTO LEASING CORPORATION,Productivity,3.94737,38,0.0,2025-02-27,2026-07-10,運行管理者,,,,,,,,,,,,,,,,,,
이지보카 - 영어단어 어원을 읽어주는 특별한 단어장,shouter inc.,Education,4.63157,38,0.0,2019-03-23,2025-07-25,TOEFL,,,,,,,,,,,,,,,,,,
AI語源単語帳/赤シート/単語帳/英文法/英会話/TOEIC,Atsushi Koyama,Education,4.65789,38,0.0,2026-05-15,2026-05-26,英単語,,○,,,,○,,,○,,,○,,,,,,
毎年試験に出る日本地理【完全版】,Shinsuke Yoshida,Education,4.34211,38,1500.0,2017-06-21,2026-05-14,公務員試験/旅行業務取扱管理者,,○,○,,○,,,,,,,,,,,,,
高校卒業程度認定試験（高卒認定）対策,Ai Jitou,Education,4.02632,38,0.0,2022-02-02,2025-12-02,高卒認定,○,○,○,○,○,,,,,,,,,,,,,
高校英単語1300問チャレンジ - 発音機能付き英語学習,Keiko Yukawa,Education,4.47368,38,0.0,2014-01-14,2026-06-21,単語帳,,,,○,,,,,,,,,,,,,,
猫検定 〜問題集アプリ〜,Yu Minegishi,Education,3.67568,37,0.0,2024-10-29,2026-01-12,QC検定/検定,,,,,,,,,,,,,,,,,,
気象予報士試験対策,AI Labs E73 Inc.,Education,4.72973,37,0.0,2022-03-06,2026-07-14,気象予報士/試験対策,○,,○,,,,,,,,,,,,,,,
タテスタFP2級,GUENOCROSS INC.,Education,3.24324,37,0.0,2023-07-25,2026-03-21,ファイナンシャルプランナー,○,,,○,,,,,,,,,,,,,,
みつけもじ:認知症 発達障害の脳トレゲーム 集中力UP遊び,ryo muranaka,Education,3.81081,37,0.0,2022-07-06,2026-03-02,保育士,,,,,,,,,,,,,,,,,,
二級ボイラー技士のたまご(過去問),ryosukE soejimA,Education,3.83784,37,0.0,2022-02-13,2022-02-13,危険物取扱者,○,○,,,,,,,,,,,,,,,,
みんなの日本語初級Ⅱ 第2版　聴解タスク25,"INPERIA CO., LTD.",Education,4.54054,37,0.0,2018-07-30,2026-04-10,日本語能力試験,,,,,,,,,,,,,,,,,,
英単語・写真とフラッシュカードで学ぶ,Ha Ho,Education,4.64865,37,0.0,2020-08-06,2026-01-10,フラッシュカード,○,,,,,,,,,,,,,,,,,
小习惯-科学的に良い習慣を身につけ、時間を効率的に管理,"xiaorichang Technology Co., Ltd.",Productivity,4.10811,37,0.0,2019-03-24,2026-06-30,学習記録,,,,,,○,○,,,,,○,,,○,,,
CoStudy-自習室,"Costudy Information Technology Shanghai Co., Ltd",Productivity,3.91892,37,0.0,2020-11-05,2023-09-15,勉強タイマー/学習記録,,,,,,,,,,,,,,○,,,,
管理栄養士｜スキマ時間で効率学習,Eriya Okuno,Education,3.02778,36,0.0,2020-11-14,2020-11-14,スキマ時間 学習/国家資格/管理栄養士,○,○,○,○,○,,,,,○,,,○,,,,,
通関士試験対策 過去問題集アプリ【みこ会 会員限定】,YUZUKI SUDA,Education,4.05556,36,0.0,2021-05-30,2026-02-12,試験対策/通関士,,○,,○,,,,,,,,,,,,,,
簿記モバ2級商業簿記,Tomoki Imura,Education,4.52778,36,0.0,2021-03-21,2026-05-05,日商簿記/簿記,,○,○,○,,,,○,,,,,,○,,,,
貸金業務取扱主任者｜スキマ時間で効率学習,Eriya Okuno,Education,3.27778,36,0.0,2021-05-01,2021-07-05,スキマ時間 学習/旅行業務取扱管理者/貸金業務取扱主任者,○,○,○,○,○,,,,,○,,,○,,,,,
英英辞典 | 英語辞書,Bravolol Limited,Book,4.36111,36,0.0,2013-04-05,2018-10-10,TOEFL,,,,,,,,,,,,,,,,,,○
中1漢字ドリル - 手書きで覚える漢検4級,Junpei Shimotsu,Education,3.94444,36,0.0,2019-05-15,2026-04-27,漢検,○,○,,,,,,,,,,,,,,,,
中小企業診断士  資格試験対策｜D-Learning,Eriya Okuno,Education,4.37143,35,0.0,2020-11-15,2020-11-15,スキマ時間 学習/中小企業診断士/国家資格/試験対策,○,○,○,○,○,,,,,○,,,○,,,,,
シカスタ【歯科衛生士国家試験対策】,"TANQLE CO., LTD.",Education,3.31429,35,0.0,2022-09-01,2025-02-20,試験対策,,○,○,,,,,○,,,○,,,,,,,
Listening Test-TOEIC®リスニング,Nan Chao,Education,4.31429,35,0.0,2017-01-18,2020-08-09,TOEIC,,,,,,,,,,,,,,,,,,
Vocabulary for the TOEIC®TEST,Li Wang,Education,4.65714,35,0.0,2015-11-10,2026-06-08,TOEIC,○,,,,,○,,,,○,,,○,,,,,○
ネイリスト技能検定3級　筆記試験対策,RUMAHSAKU CORP.,Education,4.88235,34,800.0,2025-11-16,2026-06-01,検定,○,○,,,,○,,,○,○,,○,○,○,,,,
福祉住環境コーディネーター 問題集 3級 医療×福祉×介護,"KIIRONOKAMO, K.K.",Education,4.23529,34,500.0,2024-02-18,2024-09-25,ケアマネジャー/介護福祉士,○,,○,,,,,,,,,,,○,,,,
Waculba（ワカルバ）,"NIHON KEIEI, CO., LTD.",Education,4.88235,34,0.0,2022-07-14,2025-12-19,介護福祉士,,,,,,,,,,,,○,,,,,,
DS検定対策アプリ,"SKILLUP NeXt, Ltd.",Education,2.29412,34,1200.0,2021-08-19,2025-01-22,QC検定,○,○,,○,,○,,,,○,,,,,,,,
Flips - 忘れる前にちょうど復習できる暗記カード,BitFlap LLC,Education,4.14706,34,0.0,2025-09-23,2026-07-24,英検,○,,,,,○,○,,○,,,○,,,,,,○
マスタン英単語 - TOEIC®・英検®・英語学習,Norihiro Sakamoto,Education,4.79412,34,0.0,2026-03-31,2026-05-06,TOEIC/単語帳,,,○,,,○,,,,,,,,,,○,,
金の英単語 TOEIC対策出る単語1000語　,tomokazu murase,Education,4.29412,34,500.0,2025-03-13,2026-07-19,TOEIC/英単語,○,,,○,○,○,,○,,,,,,○,,,,
MediaDict LITE,CoCO SWING,Education,4.20587,34,0.0,2014-04-28,2026-05-27,TOEFL,,,,,,,,,,,,,,,,,,○
CASTDICE英単語帳,"CAST DICE, K.K.",Education,4.14706,34,3000.0,2021-05-06,2025-07-01,英単語,,,,,,,,,,,,,,,,,,
子供 ゲーム こどもゲーム べんきょうアプリ たのしい 勉強,WitPlex LLC,Education,4.85294,34,0.0,2021-12-30,2026-07-22,数検,,,,,,,,,,,,,,,,,,
登録日本語教員　応用試験対策,RUMAHSAKU CORP.,Education,4.44118,34,800.0,2025-08-12,2026-06-01,教員採用試験/日本語能力試験,○,○,,○,,○,,,○,○,,,,,,,,
情報カード,Catalystwo Limited,Productivity,4.08824,34,0.0,2021-03-14,2024-09-11,暗記,,,,,,,,,,,,,,,,,,
25Mate - 集中タイマー型SNS,"Brick Bay Insights, Inc.",Education,4.38235,34,0.0,2023-07-31,2023-08-02,勉強タイマー,,,,,,,,,,,,,,,○,,,
介護福祉士 過去問・国家試験対策,MITSURU TAMAKI,Education,4.27273,33,0.0,2025-11-11,2026-07-26,介護福祉士/看護師 国家試験/過去問,○,○,○,○,○,○,○,,,,,,○,,,,,
iroben,Yuki Nishimura,Education,4.51515,33,0.0,2024-05-16,2024-12-03,検定,,,,,,,,,,,,,,,,,,
日本文学史 一問一答 - 高校受験 大学受験 共通テスト対策,Hajime App Lab,Education,4.45455,33,0.0,2023-09-01,2026-07-27,公務員試験/暗記/模試,○,○,○,,,○,○,,○,,,○,○,,,,,
簿記２級 資格試験対策｜D-Learning,Eriya Okuno,Education,4.21211,33,0.0,2020-09-28,2020-10-05,日商簿記/簿記,○,○,○,○,○,,,○,,○,,,○,,,,,
介護福祉士 聴くだけアプリ（完全版）,"SOCIAL NOTE CO., LTD.",Education,4.78788,33,370.0,2021-09-11,2026-05-01,介護福祉士,,,,,,,,,,,,,,,,,,
TOEFL Practice Test +,Thanh Vu Truong,Education,4.36364,33,0.0,2020-05-26,2026-01-09,TOEFL,,,,,,,,,,,,,,,,,,
vEnglish – 賢く英語を学ぶ,Duy Pham,Education,4.81818,33,0.0,2024-03-26,2026-05-05,TOEFL,,,○,,,,,,,,,,,,,,,○
無限漢字ドリル - AI例文でプリント作成&カードで暗記学習,Yumi Mochizuki,Education,4.51515,33,0.0,2025-12-10,2026-07-08,漢字検定,○,○,,○,,,,,,○,,,,,,,,
公務員試験 政治経済アプリ,ayumu hieda,Education,4.78788,33,0.0,2021-02-21,2025-12-17,公務員試験,○,,○,,,,,,,,,,,,,,,
カードで倫理｜アシストシステム,Tsuyoshi Hayakawa,Education,4.87879,33,0.0,2024-12-03,2025-08-30,公務員試験,,,,,,,,,,,,,,,,,,
FocusTimer - 目標達成のための集中タイマー,Yuya Isago,Productivity,4.30302,33,0.0,2019-02-07,2020-11-16,学習記録,,,,,,○,,,,,,,,,○,,,
IT用語クイズ-ITパスポート 過去問 全問解説 試験 合格,Taiki Takemura,Education,4.375,32,0.0,2024-05-08,2026-01-16,ITパスポート/基本情報技術者/応用情報技術者/資格,,○,,,○,○,,,,,,,○,,,,,
秘書検定3級の王様‐資格試験受験対策の問題集&勉強アプリ,HANAUTA INC.,Education,3.96875,32,0.0,2024-09-27,2026-07-22,ITパスポート/スキマ時間 学習/日商簿記/登録販売者,○,○,○,○,○,,,○,,○,,,,,,,,
応用情報技術者｜しっかり解説の資格試験問題集,Eriya Okuno,Education,4.40625,32,0.0,2020-10-06,2021-07-13,基本情報技術者/応用情報技術者/資格 過去問,○,○,○,○,○,,,,,○,,,○,,,,,
理学療法士のたまご(過去問),ryosukE soejimA,Education,4.8125,32,0.0,2022-02-03,2022-02-03,過去問,○,○,,,,,,,,,,,,,,,,
QC検定3級　試験対策,RUMAHSAKU CORP.,Education,3.90625,32,800.0,2025-08-29,2026-03-09,QC検定/日本語能力試験/検定/試験対策,○,○,○,,,○,,,,○,,○,○,,○,,,
シフトなう,"Hodosoft Co.,Ltd.",Productivity,4.40625,32,0.0,2021-08-10,2026-07-22,保育士,,,,,,,○,,,,,,,,,,,
【解説付】第一種電気工事士 筆記試験 問題集 2018年版,Hiroyuki Shimodaira,Education,3.21875,32,0.0,2018-03-27,2018-03-27,電気工事士/電験三種,○,○,○,,,,,,,,,,,,,,,
建設機械施工管理2級のたまご-パスモン,ryosukE soejimA,Education,4.125,32,0.0,2025-01-22,2025-01-22,施工管理技士,○,○,,○,,,,○,,,,,○,,○,,,
TOEFLテスト英単語超必須３５００,aimshoot K.K.,Education,3.8125,32,0.0,2023-06-15,2023-12-16,TOEFL,○,○,,○,○,○,,,,,,,○,,,,,
手書き英語勉強 - 中1英単語400,Junpei Shimotsu,Education,4.34375,32,0.0,2019-06-30,2026-04-25,英単語,○,,,,,,,,,,,,,,,,,
学研『スマホ問題集　高校入試　英語・数学・国語・理科・社会』,"Gakken CO.,LTD",Education,3.125,32,0.0,2022-08-15,2022-11-01,数検,,,○,○,,,,,,,,,,,,,,
第１種放射線取扱主任者試験対策　過去問をすばやくチェック,Japan Radioisotope Association,Education,4.12903,31,0.0,2016-05-26,2026-01-27,国家資格/試験対策/資格 過去問,,,○,,○,,,,,,,,,,,,,
中小企業診断士スピード問題集SmartAI-2026年度版,GUENOCROSS INC.,Education,2.90323,31,0.0,2021-04-13,2025-12-17,中小企業診断士,,,,,○,○,,,,,,,○,,,,,
FP3級 最短合格問題集,"RETERIOR, K.K.",Education,5,31,0.0,2026-05-27,2026-07-13,ファイナンシャルプランナー,○,○,○,○,○,○,,,,○,,,,○,,,,
天文宇宙検定 公式問題集〈2022～2023年版〉,"BLUEGATE Co.,Ltd.",Education,1.54839,31,0.0,2022-08-30,2024-11-26,QC検定,○,,○,,○,○,,,,,,,,,,,,
新东方托福Pro-ETS官方合作伙伴,Beijing Oriental Bian Technology CO.Ltd,Education,4.58065,31,0.0,2019-08-16,2026-07-29,TOEFL,,,,,,,,,,,,,,,,,,
JLPT Learn (N5-N1),Quang An Truong,Education,4.32258,31,0.0,2019-05-29,2026-03-16,日本語能力試験,,,,,,,,,,,,,,,,,,
応用情報技術者 試験 ＜全問解説付＞ 過去問 一問一答,MITSURU TAMAKI,Education,4.5,30,0.0,2023-06-19,2026-04-06,スキマ時間 学習/応用情報技術者/試験対策/過去問,,○,○,○,○,○,,,,,,,○,,,,,
クレーン・デリック運転士(限定なし)のたまご(過去問),ryosukE soejimA,Education,4.7,30,0.0,2022-02-15,2022-02-15,過去問,○,○,,,,,,,,,,,,,,,,
介護職員初任者研修試験対策2023,YUZUKI SUDA,Education,3.06667,30,0.0,2021-02-01,2023-01-10,介護福祉士/看護師 国家試験/試験対策,,,,,,,,,,,,,,,,,,
介護福祉士 秒トレ：過去問・出題傾向に基づく要点速習アプリ,GINOAPPS LLC.,Education,4.76667,30,0.0,2026-06-26,2026-07-26,介護福祉士/看護師 国家試験/社会福祉士,○,,,○,○,,,,,,,,,,,,,
ITパスポート 過去問（完全版）,"SOCIAL NOTE CO., LTD.",Education,4,30,370.0,2024-01-11,2026-06-23,ITパスポート,,,,,,,,,,,,,,,,,,
小学生からの英検®単語[３・４・５級編],TELULU LLC,Education,4.4,30,790.0,2019-08-06,2026-04-11,英単語/英検,○,○,,○,,○,,,,,,,,○,,,,
中2 英単語 勉強 ( 中学生 中二 英語 ),Ohmori Takeru,Education,4.59999,30,0.0,2024-07-12,2026-07-26,英単語,,,,,,,,,,,,,,,,,,
TOEIC上級英単語1500,Nagase Inc.,Education,2.2,30,0.0,2015-04-15,2017-12-18,英単語,,,,,,,,,,,,,,,,,,
どこでもワーク　数学1年計算編,"BUNRI CO., LTD.",Education,2.96667,30,0.0,2016-04-18,2021-03-24,数検,,○,,,○,,,,,,,,,,,,,
BabyBusこどもむけのすうがくゲーム,"BABYBUS CO.,LTD",Education,4.46666,30,0.0,2022-10-19,2026-07-22,数検,,,,,,,,,,,,,,○,,,,
今話したい：英語と日本語を話そう,Wang-Chou LU,Education,4.43333,30,0.0,2018-10-28,2020-12-29,日本語能力試験,,,,,,,,,,,,○,,,,,,
国内旅行業務取扱管理者 試験対策 アプリ,"ONLINE SCHOOL Co.,Ltd",Education,4.23332,30,0.0,2019-09-26,2025-11-13,旅行業務取扱管理者,○,○,,,,,○,○,,,,,○,,,,,
Infinite: Learn Japanese,"Jernung, LLC",Education,4.8,30,0.0,2017-12-07,2026-02-28,フラッシュカード,○,,,○,,,,,,,,,,○,,,,
LanGeek | 語学学習,Mohammed Ridha Al Rubaye,Education,4.7,30,0.0,2021-10-12,2026-07-11,フラッシュカード,○,,,,,,○,,○,,,,○,○,,,,○
タイマー猫,Makoto Ohnami,Productivity,4.33333,30,0.0,2023-06-25,2023-09-14,勉強タイマー,,,,,,,,,,,,,,,○,,,
マネミー｜投資初心者のための株とお金の勉強アプリ,GREEN MONSTER Inc. Apps,Education,4.5,30,0.0,2026-05-11,2026-07-23,スキマ時間 学習,,,,○,,,,○,,,,,,,,,,
考试宝-职业资格题库在线考试培训学习AI刷题拍照搜题助手,"Shanghai Juxue Network Co., Ltd.",Education,4.62069,29,0.0,2022-06-11,2026-07-29,消防設備士/衛生管理者/資格,,○,,,,,,,,,,,,,,,,
過去問OX『第一種衛生管理者』,Masaki Sugimoto,Education,4.75861,29,450.0,2023-02-15,2026-01-20,衛生管理者/過去問,○,○,○,○,,,,,,,,,,,,,,
運行管理者試験（貨物） 「30日合格プログラム」,ReCorrect Inc.,Education,3.93103,29,1800.0,2018-12-08,2025-12-03,運行管理者,,○,,,,,,,,○,,,,,,,,
Honki JLPT - Nihongo Study,"Japan ICT Learning Co., Ltd.",Education,4.89655,29,0.0,2017-09-26,2023-05-31,日本語能力試験,○,,,,,,,,,,,,,,,,,
HappyMood - All Games Library,Calliope State School,Reference,3.75862,29,0.0,2025-10-02,2026-02-19,MOS,,,,,,,,,,,,,,,,,,
元素図鑑：記憶カード 作・Theodore Gray,NatureGuides Ltd.,Education,4.31034,29,0.0,2014-05-15,2021-09-14,フラッシュカード,,,,,,,,,,,,,,,,,,
Preschool games: kids toddlers,"Kids Academy Co apps: Preschool & Kindergarten Learning Kids Games, Educational Books, Free Songs",Education,4.06897,29,0.0,2013-07-30,2025-01-09,フラッシュカード,,,,,,,,,,,,,,,,,,
Learn Chinese Baby Flashcards,智媛 冯,Education,4.51724,29,0.0,2013-04-14,2026-07-03,フラッシュカード,,,,,,,,,,,,,,,,,,
RandomTimer-勉強や仕事の作業用,riku miyamoto,Productivity,4,29,0.0,2022-02-21,2022-02-26,勉強タイマー,,,,,,,,,,,,○,,,○,,,
あん摩マッサージ指圧師のたまご(過去問),ryosukE soejimA,Education,4.39286,28,0.0,2022-01-09,2022-02-14,過去問,○,○,,,,,,,,,,,,,,,,
めぐる！世界遺産検定2級,KAORI YAMAWAKI,Education,4.25,28,400.0,2025-12-03,2026-06-29,検定,○,,,,,○,,,,,,,,,,,,
